id,created_at,screen_name,u_created_at,statuses_count,followers,friends,location,profile_background_color,text
ID_1265749366939226115,5/27/2020 20:59,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17132,52516,17726,"Glasgow, Scotland",C0DEED,"""The consequences of doing nothing grow by the day  the time to act is now.""

""Climate Change is PAIN and anyone wh… https://t.co/NjFQG7Wmd8"
ID_1265753930857959429,5/27/2020 21:17,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230906,25423,27264,"Taos, New Mexico, USA",8B542B,#SteamDrills Free Kindle with printbook. #ClimateChange 5Star Vision for #Resistance https://t.co/RR83BWlLNj https://t.co/WpdxexHRLj
ID_1265754689812955138,5/27/2020 21:20,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230907,25423,27264,"Taos, New Mexico, USA",8B542B,SteamDrills  Climatechange is signaling lights out for coal. Either #coal or humans or both are about to become extinct RiveraSunAuthor
ID_1265758857042767873,5/27/2020 21:36,JaneKBrundage,Sat Mar 17 17:26:44 +0000 2012,11587,116,85,"Coyoacán, Mexico City",C0DEED,#COVID19Recovery Will Be #EcologicalTransition  Or It Won't Be A Recovery | #ClimateCrisis #CommunityEnergy… https://t.co/eG5FV0fka2
ID_1265759433239527425,5/27/2020 21:39,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17132,52515,17726,"Glasgow, Scotland",C0DEED,"“This recent increase in methane is massive ”

“It’s globally significant. It’s contributed to some of the increase… https://t.co/thEF7cVezX"
ID_1265759966901817345,5/27/2020 21:41,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230911,25424,27279,"Taos, New Mexico, USA",8B542B,SteamDrills -The disease of lack of caring is eating at our hearts RiveraSunAuthor ClimateChange Coal #Occupy #OWS #NoKXL
ID_1265760165757845504,5/27/2020 21:41,JaneKBrundage,Sat Mar 17 17:26:44 +0000 2012,11592,116,85,"Coyoacán, Mexico City",C0DEED,It Will Get Darker Before the Dawn | #COVID19Crisis #EconomicImpact #Pandemic #GlobalEconomy #Denial… https://t.co/kz0Oa6lsbj
ID_1265760219562487809,5/27/2020 21:42,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230912,25424,27279,"Taos, New Mexico, USA",8B542B,Want to do something truly radical? Be kind. Be connected. Be unafraid https://t.co/xfOLyg7sXD Resistance #Climate https://t.co/J6zvoc2JVU
ID_1265768709345488896,5/27/2020 22:15,chriscartw83,Fri Mar 18 15:04:19 +0000 2016,28253,2465,281,Caribbean,F5F8FA,"Daily climate news 27.05.2020

Co2 ppm stuck near 418  despite #lockdown 😱😱

2 countries recording temperatures ove… https://t.co/CZaPf7NoHf"
ID_1265769499875135488,5/27/2020 22:19,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17134,52517,17726,"Glasgow, Scotland",C0DEED,"“Drop Exxon ”

“We won’t work for you if you work for them ”

“We have just a few years left to address the climate… https://t.co/hdvVObP6Tp"
ID_1265774190029705217,5/27/2020 22:37,ClimatePatriot,Tue Sep 10 00:27:40 +0000 2013,47498,1814,3770,troposphere,22330,@ianrowley677 @SimonMaxfield8 @JoeTheAtheist @TheDisproof @RuleByLogic @IngersolRobert @aussie_skier @WannerKev… https://t.co/mZlXXjrZcm
ID_1265785880595304449,5/27/2020 23:24,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230925,25425,27280,"Taos, New Mexico, USA",8B542B,Precarious  life is. A flying leap. A sweep of hand. Actress RiveraSunAuthor reads #SteamDrills… https://t.co/1KUeW8t5AR
ID_1265789632224075777,5/27/2020 23:39,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17136,52515,17726,"Glasgow, Scotland",C0DEED,"The ocean’s biology is one of our best allies in the fight against climate change

over-exploitation &amp; our addictio… https://t.co/B6rOFHCsHc"
ID_1265793929204641798,5/27/2020 23:56,GeraldKutney,Thu Oct 25 18:16:20 +0000 2012,90765,38484,27669,"Ottawa, Ontario",131516,@SchemppShawn @blackbird766 @tim4hire @BonnieLCarter @The_Zero_Zero @SChad71593015 Though you refuse to answer my s… https://t.co/eHdGxLCuoz
ID_1265795916302356487,5/28/2020 0:03,GeraldKutney,Thu Oct 25 18:16:20 +0000 2012,90766,38484,27669,"Ottawa, Ontario",131516,"@realDonaldTrump @NASA @SpaceX Excellent Mr. President that you support NASA. So do I - https://t.co/ST9cnI0XOy

-… https://t.co/1Psl2q80RG"
ID_1265798538296000513,5/28/2020 0:14,GeraldKutney,Thu Oct 25 18:16:20 +0000 2012,90768,38484,27669,"Ottawa, Ontario",131516,"Who let the trolls out... beep  beep  beep  beep  beep...

A list of the propaganda of novice climate deniers and l… https://t.co/F1ccfDaKm0"
ID_1265799698675191808,5/28/2020 0:19,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17137,52515,17726,"Glasgow, Scotland",C0DEED,"“Again and again  the same message ”

“Listen to the scientists  listen to the scientists. Listen to the scientists… https://t.co/3GvZF3Hj7U"
ID_1265809764937863168,5/28/2020 0:59,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17138,52513,17726,"Glasgow, Scotland",C0DEED,You could divest from fossil fuel companies because it's good for the planet or you could divest because other-wise… https://t.co/8cZVBRlsVb
ID_1265815085420773377,5/28/2020 1:20,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230939,25425,27278,"Taos, New Mexico, USA",8B542B,"SteamDrills -""We means all of us "" Henrietta told them.""Rich and poor  black and white."" #Climate #Inequality #Occupy"
ID_1265819831129051136,5/28/2020 1:39,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17138,52516,17726,"Glasgow, Scotland",C0DEED,"Asking how to pay for the impact of climate change implies that these costs are a matter of choice.

Global warming… https://t.co/wlnXIwKF4K"
ID_1265820370893971458,5/28/2020 1:41,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230942,25425,27278,"Taos, New Mexico, USA",8B542B,SteamDrills -We're on the front lines of life and death. The battlefield is all around us Climate Inequality OWS #NoKXL #M4BL
ID_1265829897487790081,5/28/2020 2:19,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17140,52516,17725,"Glasgow, Scotland",C0DEED,"""He is locking in permanent  irreversible damage to our environment through his irresponsible environmental policie… https://t.co/uEkdDpEvhV"
ID_1265838564652302336,5/28/2020 2:53,JaneKBrundage,Sat Mar 17 17:26:44 +0000 2012,11598,116,85,"Coyoacán, Mexico City",C0DEED,Build Back Greener | Interview With Vanessa Nakate  #YoungClimateActivist || #COVID19 #Lockdown #Governments… https://t.co/4QEB7PHl7L
ID_1265839276702543872,5/28/2020 2:56,JaneKBrundage,Sat Mar 17 17:26:44 +0000 2012,11600,116,85,"Coyoacán, Mexico City",C0DEED,#COVID19Recovery Will Be #EcologicalTransition  Or It Won't Be A Recovery | #ClimateCrisis #CommunityEnergy… https://t.co/gR3C2WMgl8
ID_1265841517496881153,5/28/2020 3:05,JaneKBrundage,Sat Mar 17 17:26:44 +0000 2012,11607,116,85,"Coyoacán, Mexico City",C0DEED,It Will Get Darker Before the Dawn | #COVID19Crisis #EconomicImpact #Pandemic #GlobalEconomy #Denial… https://t.co/YTOX3fVB1O
ID_1265844287478075393,5/28/2020 3:16,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230961,25425,27277,"Taos, New Mexico, USA",8B542B,It Take More Than millions in the streeets #ClimateChange #Women #RacialJustice Sharing ideas here...… https://t.co/GWQInoMcAr
ID_1265844536712073216,5/28/2020 3:17,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230962,25425,27277,"Taos, New Mexico, USA",8B542B,#SteamDrills - Love #Resistance and #Change in a time of #GlobalWarming #5Star.https://t.co/H2eDu08al8 https://t.co/pXmJp4QLxR
ID_1265850030310559744,5/28/2020 3:39,PaulEDawson,Thu Nov 15 21:14:22 +0000 2012,17142,52516,17725,"Glasgow, Scotland",C0DEED,"“Drought-stressed trees recover less well""

""under climate change tree growth may be slow and fires more frequent ""… https://t.co/JEQoIm84Gi"
ID_1265851778605686789,5/28/2020 3:45,EcoManDan,Sat Nov 12 00:46:03 +0000 2011,3666,179,462,"Toronto, Ontario, Canada",709397,#cc #climatechange RT @UNEP: Marine plants produce more than half of our atmosphere’s oxygen  in turn removing carb… https://t.co/RltJdzkhYh
ID_1265853328933748739,5/28/2020 3:52,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230966,25424,27276,"Taos, New Mexico, USA",8B542B,SteamDrills -Precarious  life is. A flying leap. A sweep of hand. A lucky catch in a whirling circus act #Climate 5Star RiveraSunAuthor
ID_1265854106532339712,5/28/2020 3:55,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230967,25424,27274,"Taos, New Mexico, USA",8B542B,SteamDrills -Come on America  let's meet this climatechange challenge in a showdown Climate 5Star #Inspiration from RiveraSunAuthor
ID_1265858372508803079,5/28/2020 4:12,RiveraSunAuthor,Sun Jan 13 20:20:26 +0000 2013,230970,25424,27276,"Taos, New Mexico, USA",8B542B,Taking the mandate of climate change into our own lives and actions https://t.co/84w8hVItP9. https://t.co/OHHs3Ua3io
