"WordCount","SentimentGI","NegativityGI","PositivityGI","SentimentHE","NegativityHE","PositivityHE","SentimentLM","NegativityLM","PositivityLM","RatioUncertaintyLM","SentimentQDAP","NegativityQDAP","PositivityQDAP"
8,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.142857142857143,0,0.142857142857143,0,0,0,0,0,0,0,0.142857142857143,0,0.142857142857143
11,0,0.0909090909090909,0.0909090909090909,0,0,0,-0.0909090909090909,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909
15,0.133333333333333,0,0.133333333333333,0,0,0,0,0,0,0,-0.133333333333333,0.2,0.0666666666666667
12,-0.0833333333333333,0.166666666666667,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333,0,0.0833333333333333
9,0.111111111111111,0,0.111111111111111,0,0,0,0,0,0,0,0.222222222222222,0,0.222222222222222
11,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.1,0,0.1,0,0,0,0,0,0,0.1,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0.0769230769230769,0,0.0769230769230769
11,0,0.0909090909090909,0.0909090909090909,0,0,0,-0.0909090909090909,0.0909090909090909,0,0,-0.0909090909090909,0.0909090909090909,0
12,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0.166666666666667
9,0,0,0,0,0,0,0,0,0,0,0,0,0
11,-0.0909090909090909,0.0909090909090909,0,-0.0909090909090909,0.0909090909090909,0,-0.0909090909090909,0.0909090909090909,0,0,-0.0909090909090909,0.0909090909090909,0
13,0.0769230769230769,0,0.0769230769230769,0,0,0,0,0,0,0,0.153846153846154,0,0.153846153846154
11,-0.0909090909090909,0.181818181818182,0.0909090909090909,-0.0909090909090909,0.0909090909090909,0,-0.0909090909090909,0.0909090909090909,0,0.0909090909090909,-0.181818181818182,0.181818181818182,0
11,0,0.0909090909090909,0.0909090909090909,0,0,0,-0.0909090909090909,0.0909090909090909,0,0,0,0.0909090909090909,0.0909090909090909
10,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0,0.2,0,0.2
11,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0.0833333333333333,0.0833333333333333,0,0.0833333333333333
10,0,0,0,0,0,0,0,0,0,0,0,0,0
14,-0.142857142857143,0.142857142857143,0,-0.0714285714285714,0.0714285714285714,0,0,0,0,0,0,0.0714285714285714,0.0714285714285714
11,-0.0909090909090909,0.0909090909090909,0,0,0,0,0,0,0,0,-0.0909090909090909,0.0909090909090909,0
9,0,0.111111111111111,0.111111111111111,0,0,0,0,0,0,0,0.111111111111111,0,0.111111111111111
12,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0,0.0833333333333333,0.0833333333333333
9,-0.333333333333333,0.333333333333333,0,0,0,0,-0.111111111111111,0.111111111111111,0,0,-0.333333333333333,0.333333333333333,0
11,0.181818181818182,0,0.181818181818182,0,0,0,0.181818181818182,0,0.181818181818182,0,0.181818181818182,0,0.181818181818182
14,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.153846153846154,0,0.153846153846154,0,0,0,0,0,0,0,0.153846153846154,0,0.153846153846154
9,0.111111111111111,0,0.111111111111111,0,0,0,0,0,0,0,0.111111111111111,0,0.111111111111111
10,0,0,0,-0.1,0.1,0,0,0,0,0.1,-0.1,0.1,0
12,-0.0833333333333333,0.0833333333333333,0,0,0,0,0,0,0,0,-0.0833333333333333,0.0833333333333333,0
11,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0
13,0.0769230769230769,0,0.0769230769230769,0,0,0,-0.0769230769230769,0.0769230769230769,0,0,0,0,0
12,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,0,0.166666666666667
11,0,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0.0909090909090909
11,0,0,0,0,0,0,0,0,0,0.0909090909090909,0,0,0
7,0.142857142857143,0,0.142857142857143,0,0,0,0.142857142857143,0,0.142857142857143,0,0.142857142857143,0,0.142857142857143
12,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
10,-0.1,0.1,0,0,0,0,-0.1,0.1,0,0,-0.1,0.1,0
13,0.230769230769231,0,0.230769230769231,0,0,0,0,0,0,0,0.230769230769231,0,0.230769230769231
12,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0.0833333333333333,0,0.0833333333333333
9,0.111111111111111,0,0.111111111111111,0,0,0,0,0,0,0,0,0,0
11,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909,0,0.0909090909090909
12,0.0833333333333333,0,0.0833333333333333,0,0,0,0,0,0,0,0.0833333333333333,0,0.0833333333333333
15,0,0,0,-0.0666666666666667,0.0666666666666667,0,0,0,0,0,0,0,0
12,0.166666666666667,0,0.166666666666667,0,0,0,0,0,0,0,0.166666666666667,0,0.166666666666667
12,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.1,0,0.1,0,0,0,0,0,0,0,0.1,0,0.1
14,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0,0.0769230769230769,0,0.0769230769230769
10,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0,0.1,0,0.1
13,-0.0769230769230769,0.0769230769230769,0,0,0,0,-0.0769230769230769,0.0769230769230769,0,0,-0.0769230769230769,0.0769230769230769,0
13,0,0,0,-0.0769230769230769,0.0769230769230769,0,0,0,0,0,0,0,0
13,0.0769230769230769,0.0769230769230769,0.153846153846154,0,0,0,-0.0769230769230769,0.0769230769230769,0,0,0.153846153846154,0.0769230769230769,0.230769230769231
13,0,0.153846153846154,0.153846153846154,0,0,0,0,0,0,0,0.153846153846154,0.0769230769230769,0.230769230769231
11,0.0909090909090909,0,0.0909090909090909,0,0,0,-0.0909090909090909,0.0909090909090909,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.0909090909090909,0,0.0909090909090909,0,0,0,0,0,0,0,0,0,0
13,-0.0769230769230769,0.0769230769230769,0,0.0769230769230769,0,0.0769230769230769,0,0,0,0,0,0.0769230769230769,0.0769230769230769
9,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.125,0,0.125,0.125,0,0.125,0.125,0,0.125,0,0.125,0,0.125
9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0,0,-0.0909090909090909,0.0909090909090909,0,0,0.181818181818182,0.0909090909090909,0.272727272727273
10,0.1,0,0.1,0,0,0,0,0,0,0,-0.1,0.1,0
10,0.1,0,0.1,0.1,0,0.1,0.1,0,0.1,0,0.1,0,0.1
11,-0.0909090909090909,0.181818181818182,0.0909090909090909,0,0,0,0,0,0,0,0.0909090909090909,0,0.0909090909090909
11,0.0909090909090909,0.0909090909090909,0.181818181818182,0,0,0,0,0,0,0,0.181818181818182,0,0.181818181818182
7,0,0,0,0,0,0,0,0,0,0,0,0,0
